FID,IDENTITY_,Litho,xx,Shape_Leng,Shape_Area
1208,CHN41911,pb____,pb,17508.014118999999482,15958099.554500000551343
1209,CHN41915,smssvr,sm,20989.199612299998989,17482319.242100000381470
1210,CHN41918,pb____,pb,8505.128461919999609,4668670.040889999829233
1211,CHN41919,ig____,ig,81766.815724999993108,70394296.258000001311302
1212,CHN41922,sumx__,su,12309.206142200000613,8258886.347219999879599
1213,CHN41923,pa____,pa,7232.905769580000197,2539864.033559999894351
1214,CHN41929,wb____,wb,476072.823503000021446,635644681.324000000953674
1215,CHN41942,sssh__,ss,240778.493493999994826,1242514146.069999933242798
1216,CHN41944,scpu__,sc,17201.920735899999272,17138530.128299999982119
1217,CHN41945,pa____,pa,67591.441133800006355,290237279.799000024795532
1218,CHN41946,pb____,pb,14338.552802099999099,9130141.135749999433756
1219,CHN41952,pa____,pa,27948.367694900000060,47229362.901500001549721
1220,CHN41955,vb____,vb,4043.748933849999958,742255.066819999949075
1221,CHN41956,mtpu__,mt,49912.691040500001691,35871044.851300001144409
1222,CHN41957,smmxvr,sm,47160.911725600002683,79885161.296399995684624
1223,CHN41964,mtpu__,mt,80962.905734100000700,199452622.321000009775162
1224,CHN41969,ssmx__,ss,40065.102458300003491,61434019.982900001108646
1225,CHN41974,pa____,pa,13453.068429999999353,8103944.525720000267029
1226,CHN41975,pb____,pb,9593.955150589999903,4183844.668539999984205
1227,CHN41980,smmxvr,sm,27104.548698400001740,8456412.716749999672174
1228,CHN41981,sush__,su,229001.251282999990508,130460266.462999999523163
1229,CHN41983,pi____,pi,23902.983067400000436,17004303.662099998444319
1230,CHN41986,smmx__,sm,201536.538135999988299,944779024.547000050544739
1231,CHN41988,smmxvr,sm,6251.236165080000319,2399595.067549999803305
1232,CHN41990,smmx__,sm,6658.912584650000099,2465704.793039999902248
1233,CHN41997,vb____,vb,9159.100065639999229,6256936.314760000444949
1234,CHN41998,pb____,pb,8142.247982810000394,4279012.326790000312030
1235,CHN41999,pa____,pa,36568.583715399996436,63325564.585900001227856
1236,CHN42007,smss__,sm,30798.497923899998568,11213204.737299999222159
1237,CHN42017,smmx__,sm,17869.722522500000196,17247923.773600000888109
