,Qw(m3/s),Qs(kg/s),Qb(kg/s),CsBin1,CsBin2,CsBin3,CsBin4,vel(m/s),wid(m),dep(m),temp(deg.C),prec(m)
13180,893.320 ,1.833 ,18.749 ,0.000,0.000,0.001,0.001 ,0.849,  1155.224,  0.911  ,22.09085, 0.00002 
13181,894.403 ,0.701 ,18.772 ,0.000,0.000,0.000,0.000 ,0.849,  1155.588,  0.912  ,22.67439, 0.00003 
13182,894.878 ,1.244 ,18.782 ,0.000,0.000,0.000,0.000 ,0.849,  1155.748,  0.912  ,23.72729, 0.00023 
13183,895.608 ,2.004 ,18.797 ,0.000,0.000,0.001,0.001 ,0.849,  1155.993,  0.912  ,22.60315, 0.00000 
13184,901.418 ,1.709 ,18.919 ,0.000,0.000,0.000,0.001 ,0.851,  1157.938,  0.915  ,20.80767, 0.00000 
13185,913.737 ,6.107 ,19.178 ,0.001,0.001,0.002,0.002 ,0.855,  1162.031,  0.920  ,21.95216, 0.00037 
13186,913.236 ,0.905 ,19.167 ,0.000,0.000,0.000,0.000 ,0.855,  1161.866,  0.919  ,23.01686, 0.00115 
13187,910.536 ,1.573 ,19.111 ,0.000,0.000,0.000,0.001 ,0.854,  1160.971,  0.918  ,21.22769, 0.00000 
13188,908.359 ,2.439 ,19.065 ,0.001,0.001,0.001,0.001 ,0.853,  1160.249,  0.917  ,20.82724, 0.00000 
13189,909.168 ,1.306 ,19.082 ,0.000,0.000,0.000,0.001 ,0.854,  1160.518,  0.918  ,20.86961, 0.00000 
13190,909.052 ,1.773 ,19.079 ,0.000,0.000,0.000,0.001 ,0.854,  1160.479,  0.918  ,22.63091, 0.00000 
13191,906.851 ,1.384 ,19.033 ,0.000,0.000,0.000,0.001 ,0.853,  1159.748,  0.917  ,24.73220, 0.00000 
13192,904.589 ,2.244 ,18.986 ,0.000,0.000,0.001,0.001 ,0.852,  1158.995,  0.916  ,25.29853, 0.00001 
13193,904.088 ,1.108 ,18.975 ,0.000,0.000,0.000,0.000 ,0.852,  1158.828,  0.916  ,24.99160, 0.00013 
13194,909.703 ,1.931 ,19.093 ,0.000,0.000,0.001,0.001 ,0.854,  1160.695,  0.918  ,22.72877, 0.00000 
13195,907.964 ,0.843 ,19.057 ,0.000,0.000,0.000,0.000 ,0.853,  1160.118,  0.917  ,22.39645, 0.00000 
13196,904.785 ,1.772 ,18.990 ,0.000,0.000,0.000,0.001 ,0.852,  1159.061,  0.916  ,23.05022, 0.00001 
